Activity_ID,Customer_ID,Plan_ID,PaymentMethod_ID,Date_ID,Monthly_Charges,Total_Charges,Tenure_Months,Internet_Usage_GB,Calls_Minutes,Customer_Satisfaction_Score
A0001838,C001838,P073,PM002,20201110,75.4,533.05,7,75.94,127,8.4
A0001839,C001839,P010,PM006,20231124,49.7,2961.4,61,14.74,345,9
A0001840,C001840,P146,PM002,20230215,45.25,3264.45,70,12.53,10,5.5
A0001841,C001841,P137,PM002,20210508,78.75,995.35,13,22.98,90,6.1
A0001842,C001842,P078,PM006,20230211,81.6,2815.25,35,72.19,222,7
A0001843,C001843,P005,PM008,20211007,70.4,154.8,2,67.66,291,10
A0001844,C001844,P073,PM002,20210729,75.8,246.3,3,76.26,220,4.2
A0001845,C001845,P073,PM002,20190904,76.1,257.6,3,76.9,225,9.4
A0001846,C001846,P042,PM006,20220412,94,5757.2,62,88.86,139,7.6
A0001847,C001847,P202,PM008,20200805,103.95,7517.7,72,110.28,300,6.8
A0001848,C001848,P011,PM006,20220518,19.95,1234.8,63,0,191,7.7
A0001849,C001849,P005,PM008,20200503,71.3,1389.2,20,76.15,55,3.6
A0001850,C001850,P014,PM006,20230325,110.8,3836.3,35,112.94,216,7.2
A0001851,C001851,P005,PM002,20230601,69.1,1474.75,21,65.87,338,4.9
A0001852,C001852,P209,PM002,20201127,96.1,6001.45,62,104.98,215,8.6
A0001853,C001853,P161,PM004,20211213,48.8,720.1,15,8.67,406,6.1
A0001854,C001854,P010,PM008,20181029,50.55,2832.75,55,19.76,288,8
A0001855,C001855,P027,PM004,20191001,44.65,472.25,11,18.4,280,7.2
A0001856,C001856,P183,PM002,20180312,88.25,1460.65,17,84.9,238,4
A0001857,C001857,P011,PM006,20230407,19.45,1336.35,61,7.16,243,8.8
A0001858,C001858,P022,PM008,20191008,89.3,6388.65,71,25.54,226,7.2
A0001859,C001859,P005,PM006,20221124,70,153.05,2,71.44,222,6.3
A0001860,C001860,P011,PM004,20180623,19.25,677.9,35,1.49,297,9.5
A0001861,C001861,P005,PM006,20230622,70.5,1165.6,17,69.83,165,9.2
A0001862,C001862,P042,PM002,20180331,97.35,2119.5,21,101.4,153,4.1
A0001863,C001863,P011,PM006,20200403,19.65,921.55,47,4.16,148,6.7
A0001864,C001864,P011,PM004,20190705,20.85,72,3,0,434,8.2
A0001865,C001865,P011,PM004,20180301,19.65,68.35,3,6.72,297,7.6
A0001866,C001866,P011,PM008,20210202,19.35,847.25,44,0,277,7.3
A0001867,C001867,P027,PM004,20210616,44,44,1,18.36,154,6.5
A0001868,C001868,P193,PM002,20220125,94.4,4295.35,44,100.03,306,7.7
A0001869,C001869,P045,PM006,20180507,25.9,135,5,0,239,3.9
A0001870,C001870,P130,PM006,20180324,55.65,1400.55,24,14.64,269,5.2
A0001871,C001871,P005,PM002,20210528,69.65,69.65,1,64.12,162,5.4
A0001872,C001872,P082,PM002,20200803,75.4,1380.4,18,74.33,264,9.1
A0001873,C001873,P006,PM002,20220629,100.6,1060.2,10,99.06,211,2.9
A0001874,C001874,P284,PM006,20230507,71,4386.2,65,25.2,181,8.3
A0001875,C001875,P160,PM002,20230619,86,86,1,92.55,316,3.8
A0001876,C001876,P015,PM008,20200608,106.95,5785.5,53,113.93,111,2.9
A0001877,C001877,P011,PM004,20190728,21.2,52.05,3,0,300,7.3
A0001878,C001878,P020,PM004,20190528,61.05,2018.4,33,17.27,311,9.2
A0001879,C001879,P001,PM002,20230325,29.6,79.45,3,0.46,2,4.2
A0001880,C001880,P105,PM006,20180306,79.95,2727.3,34,19.96,176,9.6
A0001881,C001881,P011,PM004,20230519,19.7,263.65,14,5.02,229,8.9
A0001882,C001882,P011,PM004,20201225,20.3,275.4,13,8.28,275,7.5
A0001883,C001883,P121,PM006,20231003,59.9,2816.65,46,11.8,8,5.9
A0001884,C001884,P045,PM004,20210529,24.35,538.5,23,0,289,8.9
A0001885,C001885,P011,PM004,20200607,19.75,948.9,47,0.07,408,6.6
A0001886,C001886,P010,PM004,20190904,50.3,846.8,17,16.49,204,10
A0001887,C001887,P042,PM002,20190314,95.6,4783.5,49,91.55,95,4.7
A0001888,C001888,P179,PM002,20210131,50.25,2997.45,59,17.2,16,8.1
A0001889,C001889,P062,PM008,20211230,85.35,5897.4,69,23.24,401,7
A0001890,C001890,P274,PM002,20211215,41.6,470.6,11,12.41,13,6.2
A0001891,C001891,P010,PM004,20190608,51.65,524.5,10,18.23,152,8.6
A0001892,C001892,P045,PM006,20220106,24,269.65,12,0.27,238,8.5
A0001893,C001893,P021,PM008,20200310,100.85,4740,45,98.67,149,4.1
A0001894,C001894,P276,PM004,20201020,59.85,2341.5,39,17.41,307,9
A0001895,C001895,P045,PM008,20220429,25.45,1789.65,71,0,128,9.2
A0001896,C001896,P045,PM008,20181118,23.9,1626.4,71,0,222,6.9
A0001897,C001897,P045,PM008,20180629,24.15,800.3,33,0,159,6.1
A0001898,C001898,P073,PM004,20220901,75.7,5060.85,67,83.69,261,9.1
A0001899,C001899,P046,PM006,20190326,40.2,1448.8,37,14.86,7,3
A0001900,C001900,P090,PM002,20210708,84.5,4254.85,49,83.02,265,5
A0001901,C001901,P030,PM004,20220719,50.85,466.6,9,18.74,252,7.8
A0001902,C001902,P285,PM008,20231219,91.6,4627.8,52,89.93,161,9.2
A0001903,C001903,P021,PM002,20210611,98.9,6838.6,70,104.77,306,7.5
A0001904,C001904,P160,PM002,20200622,85,85,1,86.85,245,9.3
A0001905,C001905,P040,PM002,20210323,78.95,1101.85,14,78.41,161,4.3
A0001906,C001906,P027,PM004,20181126,44.3,44.3,1,15.53,451,9.3
A0001907,C001907,P011,PM004,20190929,20.2,20.2,1,0,292,6.6
A0001908,C001908,P040,PM004,20230305,80.2,4297.6,52,74.57,236,7
A0001909,C001909,P276,PM004,20230330,60.9,414.1,6,12.3,377,8
A0001910,C001910,P199,PM004,20231002,34.2,256.6,7,10.97,24,10
A0001911,C001911,P147,PM006,20230211,85.2,3969.35,47,93.86,236,4.8
A0001912,C001912,P094,PM008,20190217,87.15,2274.1,26,98.31,281,8.3
A0001913,C001913,P157,PM002,20220321,54.3,1296.8,25,19.48,161,9
A0001914,C001914,P011,PM004,20220115,19.1,1268.85,69,2.7,236,8.3
A0001915,C001915,P014,PM008,20220414,112.75,8192.6,72,103.74,232,5.9
A0001916,C001916,P011,PM004,20190530,19.95,59.25,4,0,266,9.2
A0001917,C001917,P011,PM004,20190426,19.5,1147.85,59,0,279,5.2
A0001918,C001918,P253,PM006,20231225,65.55,4361.55,67,16.56,300,7.7
A0001919,C001919,P089,PM002,20190602,78.8,2006.1,26,77.96,271,9.5
A0001920,C001920,P048,PM004,20220124,78.2,2078.95,27,21.1,141,7.5
A0001921,C001921,P015,PM006,20181101,105.25,7609.75,72,95.35,165,7.4
A0001922,C001922,P135,PM002,20191017,89.25,487.05,6,92.99,200,9
A0001923,C001923,P011,PM008,20230601,20.65,1218.45,62,0,224,6.9
A0001924,C001924,P286,PM002,20180630,68.7,1416.2,20,21.81,344,6.7
A0001925,C001925,P105,PM008,20180130,78.65,483.3,6,33.97,145,8
A0001926,C001926,P045,PM004,20200204,24.75,1234.6,51,0,217,7.8
A0001927,C001927,P011,PM008,20180209,19.75,1311.6,61,0,335,6.8
A0001928,C001928,P256,PM002,20200610,89.1,5618.3,62,87.67,223,8.9
A0001929,C001929,P287,PM006,20230411,84.7,6185.15,72,90.2,291,8.6
A0001930,C001930,P065,PM002,20200731,98,1237.85,13,107.79,237,4.3
A0001931,C001931,P025,PM002,20201202,94.45,498.1,5,88.3,273,4.4
A0001932,C001932,P012,PM002,20221118,105,294.45,3,107.48,229,4.9
A0001933,C001933,P193,PM002,20191116,93.85,2381.55,26,91.52,310,6.2
A0001934,C001934,P172,PM002,20201130,59.9,788.35,13,17.44,110,7.3
A0001935,C001935,P011,PM004,20220505,19.95,756.4,38,13.42,217,8.7
A0001936,C001936,P034,PM002,20210908,84,613.4,8,76.49,276,5.4
A0001937,C001937,P044,PM002,20210328,108.9,3625.2,34,110.17,298,8.9
A0001938,C001938,P265,PM004,20180206,33.6,550.35,18,12.42,21,8.1
A0001939,C001939,P132,PM004,20190623,85.85,4793.8,56,91.28,214,6.7
A0001940,C001940,P239,PM006,20230406,34.85,1267.2,36,10.94,21,7.2
A0001941,C001941,P225,PM002,20180906,48.75,442.2,9,16.17,4,5.2
A0001942,C001942,P245,PM002,20191124,84.85,84.85,1,82.89,369,6.9
A0001943,C001943,P157,PM004,20201106,56.65,654.85,12,18.34,323,3.5
A0001944,C001944,P166,PM008,20211023,95.3,5567.45,57,93.58,167,8.7
A0001945,C001945,P041,PM008,20231213,73.9,3160.55,42,25.28,277,4.5
A0001946,C001946,P045,PM004,20210828,24.5,740.3,33,0,245,4.4
A0001947,C001947,P236,PM006,20211209,84.6,5706.2,70,86.49,306,9.7
A0001948,C001948,P288,PM002,20190515,44.95,3085.35,68,13.34,8,8.6
A0001949,C001949,P068,PM002,20200321,24.7,24.7,1,13.04,7,6.8
A0001950,C001950,P200,PM008,20221002,100.3,3541.4,37,100.04,373,7.3
A0001951,C001951,P045,PM004,20200607,25.45,84.2,4,0,241,9.3
A0001952,C001952,P010,PM004,20210425,50.7,50.7,1,21.52,324,8
A0001953,C001953,P103,PM008,20230408,55,1165.55,20,11.97,8,6.7
A0001954,C001954,P194,PM006,20230610,68.4,4855.35,72,17.25,399,7.1
A0001955,C001955,P156,PM002,20220131,89.9,2806.9,31,86.92,188,5.5
A0001956,C001956,P089,PM002,20180624,78.55,1422.65,18,85.42,194,6.4
A0001957,C001957,P106,PM006,20200403,55.05,608.15,11,5.84,387,7.6
A0001958,C001958,P011,PM008,20200719,19.8,641.35,33,15.89,209,10
A0001959,C001959,P090,PM002,20230708,84.45,4959.15,62,89.73,394,9
A0001960,C001960,P242,PM004,20180926,35.9,35.9,1,11.89,17,7.3
A0001961,C001961,P208,PM006,20221223,80.75,1321.3,16,80.48,236,6.9
A0001962,C001962,P259,PM004,20180812,78.65,1663.75,22,25.02,86,6.6
A0001963,C001963,P071,PM006,20210629,61.75,3024.15,49,21.13,248,8.4
A0001964,C001964,P253,PM008,20210221,63.7,2188.5,36,22.34,259,7.1
A0001965,C001965,P153,PM002,20180826,99.45,4138.05,42,102.23,355,7.2
A0001966,C001966,P068,PM006,20231024,25.2,102.5,4,8.01,22,6.2
A0001967,C001967,P269,PM004,20190515,74.05,872.65,12,21.23,188,5.5
A0001968,C001968,P094,PM002,20220326,87.6,2724.25,31,86.84,322,6.5
A0001969,C001969,P203,PM002,20180925,89.15,413.25,5,88.18,318,7.1
A0001970,C001970,P011,PM008,20220219,20,1374.2,66,5.87,346,9.9
A0001971,C001971,P189,PM008,20200913,55,757.1,15,19.47,294,4.1
A0001972,C001972,P012,PM006,20220612,104.4,6692.65,64,89.7,75,9.1
A0001973,C001973,P011,PM008,20191224,20.05,218.5,10,3.48,236,8.6
A0001974,C001974,P233,PM002,20201231,89.75,608.8,7,90.72,145,4.8
A0001975,C001975,P239,PM002,20180709,34.3,1004.75,29,10.2,8,6.9
A0001976,C001976,P011,PM006,20200922,20.65,1125.6,57,0,338,7.6
A0001977,C001977,P084,PM004,20220505,84.25,3847.6,46,89.87,277,8.4
A0001978,C001978,P011,PM006,20190720,19.65,978,53,4.93,353,8.9
A0001979,C001979,P139,PM008,20200919,79.85,1387.35,17,20.09,280,6.4
A0001980,C001980,P011,PM004,20180605,20.2,746.05,38,2.24,133,7.6
A0001981,C001981,P011,PM004,20230311,19.8,304.6,15,0,23,7.6
A0001982,C001982,P179,PM002,20220506,50.35,1098.85,22,8.21,11,8.7
A0001983,C001983,P034,PM002,20221112,85.15,1139.2,14,82.02,230,3.7
A0001984,C001984,P174,PM006,20230209,74.6,4368.95,57,26.69,162,6.3
A0001985,C001985,P089,PM008,20191104,79.15,827.7,11,83.92,96,8.8
A0001986,C001986,P011,PM004,20220723,20.35,20.35,1,2.77,183,6.3
A0001987,C001987,P011,PM006,20210113,21.05,262.05,12,3.84,232,9.7
A0001988,C001988,P042,PM002,20231018,94.6,279.55,3,97.18,309,4.6
A0001989,C001989,P112,PM002,20180224,94.7,3512.5,36,91.49,266,5.9
A0001990,C001990,P220,PM002,20180326,94.25,1483.25,16,96.41,394,4.3
A0001991,C001991,P262,PM008,20230224,72.45,4653.85,65,25.74,156,5.3
A0001992,C001992,P117,PM002,20190815,74.95,151.75,2,78.72,329,7.3
A0001993,C001993,P015,PM002,20230514,105.2,4400.75,42,111.14,254,4.8
A0001994,C001994,P182,PM006,20201005,111.95,8033.1,72,115.49,312,8.6
A0001995,C001995,P011,PM006,20180909,19.85,1253.65,62,1.96,210,7.9
A0001996,C001996,P007,PM002,20210921,89.75,552.65,6,95.1,346,6.8
A0001997,C001997,P011,PM004,20200628,20.05,1036,48,0.07,276,7.5
A0001998,C001998,P051,PM002,20221122,108.95,4025.5,35,104.54,188,9.8
A0001999,C001999,P011,PM008,20190823,19.65,928.4,52,0,248,10
A0002000,C002000,P068,PM004,20201003,24.9,24.9,1,3.75,8,5.4
A0002001,C002001,P090,PM002,20210128,82.85,460.25,6,79.47,294,5.8
A0002002,C002002,P022,PM008,20210217,93.2,6506.15,71,27.24,143,8.4
A0002003,C002003,P215,PM006,20181030,84.8,5598.3,67,80.84,247,8.9
A0002004,C002004,P263,PM002,20221006,71.75,4374.55,60,19.99,285,7.6
A0002005,C002005,P096,PM006,20210509,30.35,678.75,23,0,10,5.8
A0002006,C002006,P129,PM006,20201023,54.85,2191.7,39,17.52,20,8.7
A0002007,C002007,P011,PM004,20190204,19.5,239.75,15,0.2,319,6.9
A0002008,C002008,P012,PM002,20180309,103.85,5485.5,53,99.76,249,2.5
A0002009,C002009,P045,PM004,20180603,24.2,609.05,24,3.54,269,6.4
A0002010,C002010,P011,PM002,20201011,19.35,683.75,37,4.88,276,8.5
A0002011,C002011,P160,PM002,20220226,83.6,404.2,5,75.56,286,5
A0002012,C002012,P200,PM002,20180701,100.65,5189.75,50,96.84,85,8.8
A0002013,C002013,P025,PM008,20190609,94.1,5060.9,54,90.25,222,8.5
A0002014,C002014,P082,PM002,20180120,74.55,233.65,3,69.85,116,7.3
A0002015,C002015,P044,PM002,20200430,108.45,7176.55,68,112.6,365,5
A0002016,C002016,P016,PM002,20230820,56.15,291.45,5,15.88,244,7.2
A0002017,C002017,P011,PM004,20230224,20.35,689.75,33,0,232,7.4
A0002018,C002018,P206,PM002,20191017,80.55,3263.9,41,14.15,330,6.9
A0002019,C002019,P250,PM004,20210819,61.25,1993.2,34,21.55,13,8.4
A0002020,C002020,P011,PM004,20191223,20.45,254.5,13,0,148,9.1
A0002021,C002021,P011,PM008,20210415,18.9,347.65,20,0.49,243,6.7
A0002022,C002022,P011,PM008,20200530,19.6,967.9,51,1.58,219,9.4
A0002023,C002023,P123,PM008,20190801,91.5,242.95,3,98.3,92,5
A0002024,C002024,P027,PM006,20181106,45.2,1841.9,41,7.02,187,8.1
A0002025,C002025,P011,PM008,20201022,19.45,232.1,13,0,233,5.8
A0002026,C002026,P045,PM006,20181113,25.45,809.25,35,1.17,239,6.1
A0002027,C002027,P289,PM006,20221212,80.85,866.45,12,89.85,116,4.9
A0002028,C002028,P110,PM004,20220313,94.9,360.55,4,101.09,353,8.6
A0002029,C002029,P225,PM006,20201016,49.05,2076.2,43,15.76,9,3.6
A0002030,C002030,P096,PM004,20190103,29.3,355.9,12,6.33,10,9.6
A0002031,C002031,P012,PM002,20190709,105.3,7299.65,68,109.34,286,5.5
A0002032,C002032,P007,PM002,20210603,88.95,2291.2,25,84.08,179,3.7
A0002033,C002033,P011,PM004,20190425,20.25,129.15,7,2.58,291,7.8
A0002034,C002034,P044,PM002,20221227,110.85,7491.75,66,113.38,216,7.7
A0002035,C002035,P182,PM002,20200728,110.5,5835.5,53,115.8,169,6.5
A0002036,C002036,P053,PM006,20180114,109.4,7031.45,63,123.2,301,8.5
A0002037,C002037,P014,PM006,20230907,114.2,7723.9,70,116.16,384,4.5
A0002038,C002038,P081,PM006,20180522,36.5,1032,27,8.41,15,5.8
A0002039,C002039,P005,PM004,20190813,70.75,70.75,1,70.62,333,6.1
A0002040,C002040,P011,PM004,20221118,19.95,109.6,5,0,203,7.2
A0002041,C002041,P011,PM004,20190418,19.6,727.8,37,0,106,9.2
A0002042,C002042,P274,PM004,20220328,40.15,130.75,3,10,21,6.9
A0002043,C002043,P073,PM002,20210422,76.6,893,12,73.98,434,8.1
A0002044,C002044,P011,PM008,20181113,19.6,763.1,38,0.96,388,9
A0002045,C002045,P192,PM008,20211016,85.3,781.4,9,81.19,219,7.3
A0002046,C002046,P164,PM002,20190321,65.85,902.25,13,25.36,146,8.1
A0002047,C002047,P042,PM002,20230516,94.45,2653.65,29,94.45,154,4.6
A0002048,C002048,P011,PM008,20200426,20.05,1016.7,47,0.15,98,9
A0002049,C002049,P290,PM006,20190808,99.4,5943.65,61,97.76,240,9.4
A0002050,C002050,P011,PM004,20200309,20,275.7,16,0.98,394,8.1
A0002051,C002051,P139,PM002,20190416,78.45,3126.45,41,27.66,237,9.8
A0002052,C002052,P045,PM002,20200102,25.1,1070.15,43,0,277,9.7
A0002053,C002053,P143,PM006,20200829,97.35,3457.9,36,94.06,373,5.8
A0002054,C002054,P054,PM002,20230926,55,340.4,6,14.98,213,7.4
A0002055,C002055,P277,PM008,20230903,71.1,4299.2,58,14.6,433,7.6
A0002056,C002056,P267,PM008,20210806,61.55,1093.2,19,14.37,429,6.8
A0002057,C002057,P027,PM006,20201113,45.9,521.9,11,11.39,238,9.4
A0002058,C002058,P223,PM006,20201223,40.3,1630.4,39,16.46,5,6.2
A0002059,C002059,P171,PM002,20220811,87.1,713.6,8,88.41,312,9.1
A0002060,C002060,P161,PM004,20220710,49.5,1265.65,26,15.82,218,6.6
A0002061,C002061,P117,PM008,20210616,73.8,4003.85,53,78.05,145,8.8
A0002062,C002062,P011,PM004,20181010,19.2,1401.4,70,0,365,8
A0002063,C002063,P146,PM004,20231111,45.3,45.3,1,15.54,19,5.8
A0002064,C002064,P045,PM004,20211030,25,1510.5,59,0,263,9.4
A0002065,C002065,P025,PM002,20221108,94.95,178.1,2,96.28,136,6.2
A0002066,C002066,P265,PM004,20180107,35.3,264.8,7,7.68,0,10
A0002067,C002067,P027,PM002,20200227,44.55,480.6,12,1.17,259,4.9
A0002068,C002068,P048,PM008,20180212,76.75,4541.9,59,22.35,205,6.6
A0002069,C002069,P259,PM006,20180720,81,4976.15,61,31.41,219,6.7
A0002070,C002070,P015,PM006,20220816,105.55,7542.25,72,110.18,341,5.4
A0002071,C002071,P011,PM004,20190702,18.8,251.25,13,5.01,315,6.7
A0002072,C002072,P045,PM004,20180814,24.9,1595.5,64,6.43,374,7.8
A0002073,C002073,P068,PM002,20190925,23.45,23.45,1,7.48,2,3.5
A0002074,C002074,P258,PM004,20220325,64.9,685.55,10,20.46,219,7.4
A0002075,C002075,P131,PM006,20210920,61.35,3874.1,65,15.32,318,8.7
A0002076,C002076,P014,PM004,20210419,113.95,6891.4,62,112.37,290,7.7
A0002077,C002077,P022,PM002,20190622,90.15,4916.95,55,30.12,387,7
A0002078,C002078,P097,PM002,20190426,54.1,1373,25,22.25,287,7.8
A0002079,C002079,P008,PM004,20190306,29.7,29.7,1,8.21,24,3
A0002080,C002080,P010,PM008,20210912,49.8,49.8,1,12.69,298,7.7
A0002081,C002081,P021,PM002,20200802,101.1,6039.9,59,101.1,345,6.1
A0002082,C002082,P045,PM006,20230413,24.4,1548.65,64,3.25,220,8
A0002083,C002083,P042,PM006,20221229,95,3440.25,36,87.78,251,9.9
A0002084,C002084,P161,PM004,20180421,50.65,151.3,3,3.71,331,5.9
A0002085,C002085,P291,PM004,20180731,69.9,4226.7,61,18.22,395,7.3
A0002086,C002086,P120,PM006,20220903,39.95,1023.75,26,5.88,15,6.4
A0002087,C002087,P054,PM002,20200430,55.4,55.4,1,14.08,242,4.4
A0002088,C002088,P007,PM002,20200913,90.6,90.6,1,89.86,373,5.9
A0002089,C002089,P229,PM008,20200922,103.25,7074.4,68,100.98,52,7.4
A0002090,C002090,P090,PM004,20230623,86.85,156.35,2,94.11,121,5.7
A0002091,C002091,P024,PM006,20230326,94.25,6849.75,72,95.88,311,9.3
A0002092,C002092,P292,PM002,20191028,47.05,3263.6,71,15.62,10,7.1
A0002093,C002093,P011,PM008,20181216,20.55,1252.85,57,3.32,304,7.2
A0002094,C002094,P011,PM004,20220318,19.65,67.55,4,0,255,8.5
A0002095,C002095,P005,PM002,20180908,70.2,70.2,1,75.4,301,8.3
A0002096,C002096,P212,PM008,20220416,81,5750,72,23.92,176,7.2
A0002097,C002097,P198,PM006,20210421,75.9,1549.75,21,26.12,301,7.6
A0002098,C002098,P045,PM006,20210812,24.7,1810.55,71,0,339,7.7
A0002099,C002099,P006,PM006,20230430,99.05,2952.85,29,91.28,359,3
A0002100,C002100,P051,PM008,20180320,110.25,7467.55,69,114.34,431,8.7
A0002101,C002101,P062,PM008,20190630,85,5484.4,64,27.38,271,7.2
A0002102,C002102,P011,PM008,20220202,19.75,294.9,16,0,274,4.7
A0002103,C002103,P045,PM002,20200712,23.9,97.5,4,0,112,8.2
A0002104,C002104,P109,PM008,20190911,111.25,5916.45,52,116.88,202,3.7
A0002105,C002105,P002,PM004,20181101,55.1,113.35,2,10.58,232,6.6
A0002106,C002106,P011,PM004,20220517,19.95,19.95,1,8.41,344,6.9
A0002107,C002107,P068,PM004,20201113,25.15,476.8,18,3.04,5,6.2
A0002108,C002108,P097,PM004,20220826,54.15,101.65,2,19.44,321,8.3
A0002109,C002109,P227,PM004,20220124,59.8,1130.85,19,16.3,249,6.9
A0002110,C002110,P034,PM006,20230212,83.85,3532.25,40,86.87,234,7.1
A0002111,C002111,P012,PM002,20180324,104.9,6891.45,66,102.18,272,8.6
A0002112,C002112,P073,PM004,20180403,75.3,1570.7,21,74.49,214,6.8
A0002113,C002113,P222,PM002,20220107,66.65,520.95,8,20.2,211,5.9
A0002114,C002114,P182,PM008,20230718,109.5,7854.9,72,104.49,96,10
A0002115,C002115,P174,PM006,20200213,73.85,3581.4,48,25.86,227,8.4
A0002116,C002116,P011,PM006,20211025,19.3,1447.9,69,0,206,7.8
A0002117,C002117,P014,PM002,20200302,118.2,8547.15,72,117.06,203,7.8
A0002118,C002118,P030,PM008,20190421,51.45,727.85,14,10.46,287,8.1
A0002119,C002119,P172,PM002,20190519,59.45,357.6,6,5.02,309,9.1
A0002120,C002120,P011,PM006,20230214,19.5,159.35,8,0,270,6.8
A0002121,C002121,P011,PM004,20180819,19.55,280.85,17,12.26,339,8.4
A0002122,C002122,P264,PM002,20220506,93.55,6069.25,65,97.47,301,7.7
A0002123,C002123,P071,PM004,20221110,59.3,3274.35,57,17.69,223,7.8
A0002124,C002124,P006,PM008,20180511,102.25,1359,13,100.94,208,5.1
A0002125,C002125,P025,PM008,20200113,95.9,1777.9,19,96.01,278,4.9
A0002126,C002126,P053,PM006,20190119,109.8,6109.65,56,112.54,301,8.9
A0002127,C002127,P089,PM002,20220416,78.1,1122.4,14,72.2,375,8.6
A0002128,C002128,P216,PM002,20200131,39.9,2020.9,52,17.54,19,6.1
A0002129,C002129,P026,PM008,20210221,64.9,3795.45,58,23.05,201,6.2
A0002130,C002130,P181,PM002,20200731,95.05,4504.55,47,98.64,240,4.2
A0002131,C002131,P129,PM008,20210720,53.4,3579.15,67,18.21,15,10
A0002132,C002132,P068,PM008,20231118,24.9,49.7,2,7.57,18,6.7
A0002133,C002133,P027,PM008,20220628,44.7,276.5,6,16.77,334,7.4
A0002134,C002134,P014,PM006,20181028,114,8175.9,71,116.96,244,7.4
A0002135,C002135,P011,PM006,20190901,20.25,890.35,46,0,137,7.2
A0002136,C002136,P157,PM008,20230126,53.85,259.8,5,13.29,160,5.2
A0002137,C002137,P084,PM006,20200531,83.85,5588.8,67,84.36,274,9.5
A0002138,C002138,P011,PM006,20210506,20.2,50.6,3,7.95,280,8.7
A0002139,C002139,P011,PM004,20231130,19.95,58,3,0,151,6.9
A0002140,C002140,P015,PM002,20200125,104.2,5568.35,52,96.86,254,8.2
A0002141,C002141,P161,PM002,20210421,50.25,2203.65,42,15.9,306,4.5
A0002142,C002142,P011,PM004,20200306,20.35,938.95,50,0.46,146,7.3
A0002143,C002143,P293,PM002,20230618,90,2024.1,23,90.87,349,9.6
A0002144,C002144,P103,PM008,20210816,54.2,3623.95,67,17.48,6,7.8
A0002145,C002145,P065,PM002,20180810,99.5,2369.05,25,98.38,363,6.9
A0002146,C002146,P038,PM004,20201008,99.1,3877.95,39,106.55,201,7.3
A0002147,C002147,P064,PM004,20191120,66.9,4577.9,69,12.07,157,9.3
A0002148,C002148,P068,PM004,20180428,25.85,25.85,1,3.61,6,8.6
A0002149,C002149,P133,PM002,20180623,91.05,2871.5,32,90.53,241,9.6
A0002150,C002150,P005,PM002,20210527,71,672.55,9,62.78,215,7
A0002151,C002151,P017,PM008,20230807,93.2,1573.7,16,92.32,230,3.3
A0002152,C002152,P011,PM006,20190317,20.95,1270.55,60,8.52,280,9.2
A0002153,C002153,P044,PM006,20210509,109.2,7711.45,72,109.3,234,6.3
A0002154,C002154,P011,PM004,20220519,19.35,126.05,5,1.35,244,3.3
A0002155,C002155,P196,PM008,20201024,85.8,2193.65,26,79.5,96,7
A0002156,C002156,P011,PM004,20200807,19.85,64.55,3,0,285,4.9
A0002157,C002157,P011,PM002,20180324,19.65,31.2,2,0,241,8.3
A0002158,C002158,P011,PM006,20200915,20.5,38.25,2,0,394,8
A0002159,C002159,P062,PM008,20230816,89.65,3348.1,36,33.3,165,7.8
A0002160,C002160,P082,PM004,20221019,74.35,533.6,7,77.14,87,8.6
A0002161,C002161,P179,PM008,20181213,49.45,2907.55,60,9.28,14,9
A0002162,C002162,P123,PM002,20190618,89.1,1620.8,19,90.33,281,9.3
A0002163,C002163,P185,PM008,20221226,75.15,3480.35,45,25.04,159,9.6
A0002164,C002164,P005,PM002,20190327,70.65,293.85,4,76.35,112,8.1
A0002165,C002165,P009,PM002,20200706,104.2,3243.45,31,112.1,388,4
A0002166,C002166,P294,PM002,20200811,90.05,4137.2,47,84.97,377,8.5
A0002167,C002167,P089,PM002,20180802,79.25,79.25,1,75.2,26,3.2
A0002168,C002168,P027,PM006,20200618,44.9,44.9,1,7.18,208,3.5
A0002169,C002169,P011,PM008,20210404,19.4,19.4,1,0,399,8.6
A0002170,C002170,P156,PM008,20191015,88.75,5348.65,59,91.08,207,7.9
A0002171,C002171,P005,PM002,20200909,70.1,659.65,10,75.04,205,3.2
A0002172,C002172,P203,PM008,20190730,91,3180.5,35,90.62,224,6
A0002173,C002173,P232,PM002,20181129,29.65,118.5,4,7.3,1,4.6
A0002174,C002174,P293,PM002,20180731,90.8,3023.85,32,91.56,96,9.3
A0002175,C002175,P040,PM002,20181016,77.85,3365.85,43,73.67,344,6.2
A0002176,C002176,P054,PM002,20231214,54.3,195.3,4,26.74,84,5
A0002177,C002177,P011,PM004,20201121,18.95,1031.1,54,0,272,10
A0002178,C002178,P042,PM006,20230415,95.15,997.65,11,96.07,329,4.5
A0002179,C002179,P043,PM006,20181001,102.4,6471.85,66,112.52,119,7.6
A0002180,C002180,P006,PM002,20210817,99.9,6241.35,61,99.93,166,4.6
A0002181,C002181,P022,PM008,20201027,88.7,6501.35,72,25.66,359,7.3
A0002182,C002182,P129,PM002,20230226,54.3,2317.1,44,14.5,14,8.9
A0002183,C002183,P219,PM006,20220118,55.7,2237.55,41,15.81,194,9.5
A0002184,C002184,P015,PM002,20210227,103.95,5231.3,50,110.81,358,7.1
A0002185,C002185,P051,PM008,20180407,110.85,5275.8,47,99.79,358,5.5
